English,Spanish,Type
Bad Weather,El mal tiempo,Noun
Cloud,La nube,Noun
Downpour,El aguacero,Noun
Earthquake,El terremoto,Noun
Flood,El diluvio,Noun
Forecast,El pronóstico,Noun
Frost,La escarcha,Noun
Good Weather,El buen tiempo,Noun
Lightning,El relámpago,Noun
Mist,La neblina,Noun
Precipitation,La precipitación,Noun
Pressure,La presión,Noun
Rain,La lluvia,Noun
Showers,Los chubascos,Noun
Sky,El cielo,Noun
Snow,La nieve,Noun
Storm,La tormenta,Noun
Temperature,La temperatura,Noun
Thermometer,El termómetro,Noun
Thunder,El trueno,Noun
To be clear,Estar claro,Verb
To be cloudy,Estar nublado,Verb
To be cold,Hacer frío,Verb
To be cool,Hacer fresco,Verb
To be hot,Hacer calor,Verb
To be overcast,Estar despejado,Verb
To be raining,Hacer lluvia,Verb
To be snowing,Hacer nieve,Verb
To be sunny,Hacer sol,Verb
To be windy,Hacer viento,Verb
Weather,El tiempo,Noun
Wind,El viento,Noun